title,category
Jean_Sibelius,People
Napoleon_III,People
Jomo_Kenyatta,People
Darius_the_Great,People
Ronaldo_(Brazilian_footballer),People
Judas_Iscariot,People
Socrates,People
Adolphe_Thiers,People
Saddam_Hussein,People
Enver_Hoxha,People
Huang_Chao,People
Vasco_da_Gama,People
Leonid_Brezhnev,People
"Sigismund,_Holy_Roman_Emperor",People
Hirohito,People
John_Maynard_Keynes,People
Jack_London,People
Gustav_Mahler,People
Gioachino_Rossini,People
Khadija_bint_Khuwaylid,People
Ralph_Vaughan_Williams,People
Charles_A._Beard,People
Nicolas_Poussin,People
Henrik_Ibsen,People
Vercingetorix,People
Ferdinand_II_of_Aragon,People
Rod_Laver,People
Ernst_Mach,People
Rabindranath_Tagore,People
Auguste_Comte,People
Alexander_the_Great,People
Luigi_Pirandello,People
Ibn_Arabi,People
Salvador_Dalí,People
Talcott_Parsons,People
Blackbeard,People
Nikolai_Gogol,People
Oscar_Niemeyer,People
Joseph_Banks,People
Aaron_Copland,People
Pythagoras,People
Stefan_Banach,People
Batu_Khan,People
Margot_Fonteyn,People
Isaac_Newton,People
John_of_the_Cross,People
Thomas_Paine,People
Lucian,People
Paul_von_Hindenburg,People
Edmund_Burke,People
Henry_the_Lion,People
Hayao_Miyazaki,People
Rudolf_Nureyev,People
Roger_Federer,People
Plutarch,People
Harsha,People
Józef_Piłsudski,People
Johann_Wolfgang_von_Goethe,People
Tsung-Dao_Lee,People
Akbar,People
Pope_Julius_II,People
Luciana_Aymar,People
Joseph_Brodsky,People
Rudolf_Diesel,People
Hunter_S._Thompson,People
Mirabai,People
Galileo_Galilei,People
Constantine_the_Great,People
Al-Biruni,People
Franz_Joseph_I_of_Austria,People
Ramkhamhaeng,People
Rafael_Trujillo,People
Winsor_McCay,People
Yi_Sun-sin,People
William_Golding,People
Richard_Wagner,People
Ludwig_van_Beethoven,People
Jean_le_Rond_d'Alembert,People
Walt_Whitman,People
Lev_Vygotsky,People
Anton_Chekhov,People
Steve_Wozniak,People
Flavius_Aetius,People
Yang_Guifei,People
Pierre-Simon_Laplace,People
David_Ben-Gurion,People
Babak_Khorramdin,People
Michael_Jordan,People
Alexis_de_Tocqueville,People
Hergé,People
Stendhal,People
Judah_Loew_ben_Bezalel,People
Alejo_Carpentier,People
Al-Khwarizmi,People
Fritz_Lang,People
Stephen_I_of_Hungary,People
Helena_Blavatsky,People
Nader_Shah,People
Buddy_Holly,People
Jürgen_Habermas,People
Eduard_Shevardnadze,People
Ptolemy,People
Frederick_Jackson_Turner,People
Shaka,People
Mieszko_I,People
Jimi_Hendrix,People
Gotthold_Ephraim_Lessing,People
Bede,People
Edward_Jenner,People
Aleksandr_Karelin,People
B._F._Skinner,People
Ken_Saro-Wiwa,People
Atahualpa,People
"John,_King_of_England",People
Murasaki_Shikibu,People
Niccolò_Paganini,People
William_Henry_Bragg,People
Pelé,People
Anne_Frank,People
Hank_Williams,People
Narendra_Modi,People
Dmitry_Donskoy,People
Tigranes_the_Great,People
Gracchi_brothers,People
Max_Weber,People
Lauren_Bacall,People
Rafael_Nadal,People
Bob_Woodward,People
Quentin_Tarantino,People
Tabinshwehti,People
Sigmund_Freud,People
John_Donne,People
Joseph_Pulitzer,People
Wright_brothers,People
Karl_Popper,People
Hernán_Cortés,People
Angela_Merkel,People
Alfred_Wegener,People
Marc_Chagall,People
Afonso_de_Albuquerque,People
Vitus_Bering,People
Suleiman_the_Magnificent,People
Sviatoslav_Richter,People
Emperor_Gaozu_of_Han,People
David_Bowie,People
Auguste_Rodin,People
Eric_Hobsbawm,People
Clara_Schumann,People
Richard_Feynman,People
Jack_Kilby,People
